"pattern"	"G527_1_P1A11_feces_S1"	"G527_10_P1A26_feces_S10"	"G527_11_P1A28_feces_S11"	"G527_12_P1A29_feces_S12"	"G527_13_P1A4_feces_S13"	"G527_14_P1A7_feces_S14"	"G527_15_P1A8_feces_S15"	"G527_16_P1A9_feces_S16"	"G527_17_P1A11_rumen_S17"	"G527_18_P1A13_rumen_S18"	"G527_19_P1A14_rumen_S19"	"G527_2_P1A13_feces_S2"	"G527_20_P1A19_rumen_S20"	"G527_21_P1A2_rumen_S21"	"G527_22_P1A20_rumen_S22"	"G527_23_P1A218_rumen_S23"	"G527_24_P1A22_rumen_S24"	"G527_25_P1A24_rumen_S25"	"G527_26_P1A25_rumen_S26"	"G527_27_P1A26_rumen_S27"	"G527_28_P1A29_rumen_S28"	"G527_29_P1A4_rumen_S29"	"G527_3_P1A14_feces_S3"	"G527_30_P1A7_rumen_S30"	"G527_31_P1A8_rumen_S31"	"G527_32_P1A9_rumen_S32"	"G527_33_P1A11_SNP_S33"	"G527_34_P1A13_SNP_S34"	"G527_35_P1A14_SNP_S35"	"G527_36_P1A19_SNP_S36"	"G527_37_P1A2_SNP_S37"	"G527_38_P1A20_SNP_S38"	"G527_39_P1A22_SNP_S39"	"G527_4_P1A19_feces_S4"	"G527_40_P1A24_SNP_S40"	"G527_41_P1A25_SNP_S41"	"G527_42_P1A26_SNP_S42"	"G527_43_P1A28_SNP_S43"	"G527_44_P1A29_SNP_S44"	"G527_45_P1A4_SNP_S45"	"G527_46_P1A7_SNP_S46"	"G527_47_P1A8_SNP_S47"	"G527_48_P1A9_SNP_S48"	"G527_49_2019_DNA_S49"	"G527_5_P1A2_feces_S5"	"G527_50_P2A1_feces_S50"	"G527_51_P2A10_feces_S51"	"G527_52_P2A14_feces_S52"	"G527_53_P2A16_feces_S53"	"G527_54_P2A18_feces_S54"	"G527_55_P2A19_feces_S55"	"G527_56_P2A20_feces_S56"	"G527_57_P2A21_feces_S57"	"G527_58_P2A22_feces_S58"	"G527_59_P2A26_feces_S59"	"G527_6_P1A20_feces_S6"	"G527_60_P2A27_feces_S60"	"G527_61_P2A28_feces_S61"	"G527_62_P2A29_feces_S62"	"G527_63_P2A7_feces_S63"	"G527_64_P2A9_feces_S64"	"G527_65_P2A1_rumen_S65"	"G527_66_P2A10_rumen_S66"	"G527_67_P2A14_rumen_S67"	"G527_68_P2A16_rumen_S68"	"G527_69_P2A18_rumen_S69"	"G527_7_P1A22_feces_S7"	"G527_70_P2A19_rumen_S70"	"G527_71_P2A20_rumen_S71"	"G527_72_P2A21_rumen_S72"	"G527_73_P2A22_rumen_S73"	"G527_74_P2A26_rumen_S74"	"G527_75_P2A27_rumen_S75"	"G527_76_P2A28_rumen_S76"	"G527_77_P2A29_rumen_S77"	"G527_78_P2A1_SNP_S78"	"G527_79_P2A10_SNP_S79"	"G527_8_P1A24_feces_S8"	"G527_80_P2A14_SNP_S80"	"G527_81_P2A16_SNP_S81"	"G527_82_P2A18_SNP_S82"	"G527_83_P2A19_SNP_S83"	"G527_84_P2A20_SNP_S84"	"G527_85_P2A21_SNP_S85"	"G527_86_P2A22_SNP_S86"	"G527_87_P2A26_SNP_S87"	"G527_88_P2A27_SNP_S88"	"G527_89_P2A28_SNP_S89"	"G527_9_P1A25_feces_S9"	"G527_90_P2A29_SNP_S90"	"G527_91_P2A7_SNP_S91"	"G527_92_P2A9_SNP_S92"	"G527_93_NoTemplate-DNAextraction1_S93"	"G527_94_NoTemplate-DNAextraction2_S94"	"G527_95_MockCommunity_S95"	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation"	2262	0	796	562	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	0	1	3	0	1	1	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	10	0	3	1	2	14	17	3	17	2	4	0	1	4	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1116	0
"Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation"	2321	0	1199	809	10	1	2	3	2	1	0	1	0	2	0	4	1	6	0	1	0	2	11	4	1	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	26	5	8	3	1	31	16	3	11	4	14	0	7	9	4	2	6	0	0	0	0	0	2	1	1	1	0	0	2	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	1016	0
"Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation"	2713	0	918	773	1	0	0	0	5	6	0	1	0	1	0	7	2	1	4	3	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	13	1	6	1	2	23	17	3	17	2	6	0	4	6	4	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	19	2	908	0
"Drugs|Fosfomycin|Fosfomycin_target_mutation|UHPT|RequiresSNPConfirmation"	2641	0	1386	946	0	0	0	0	1	1	0	1	0	0	0	2	0	2	4	1	0	2	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	11	0	0	0	0	0	0	23	1	13	2	0	43	23	3	25	3	9	0	1	5	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	2	1236	0
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA"	0	0	14	0	0	0	0	0	0	13	0	0	0	6	0	24	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	647	93	332	1002	536	667	69	275	49	51	23	407	7	79	28	74	61	74	31	77	114	13	366	30	71	35	0	0	0	2	0	0	0	385	0	1	0	0	0	0	0	1	0	0	418	68	64	56	48	101	55	77	51	36	55	241	57	65	70	74	37	9	0	0	0	14	398	13	9	23	6	12	27	30	10	0	12	334	3	0	0	0	1	0	0	0	1	0	400	0	0	0	1	0	938	0
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation"	10	3	10	17	7	6	4	11	1	1	0	5	0	0	1	1	1	0	0	0	3	0	7	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	1	2	3	3	2	6	6	3	2	1	3	2	0	2	3	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	394	0
"Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanA-type_accessory_protein|VANYA"	17	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanA-type_regulator|VANRA"	25	3	0	0	1	0	1	4	0	2	0	0	0	0	0	2	2	0	6	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	1	12	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanA-type_regulator|VANSA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation"	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
"Drugs|Glycopeptides|VanA-type_resistance_protein|VANA"	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	0	0	0	0	0	0	2	0	0	3	1	0	1	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA"	8	8	16	0	20	12	8	8	16	5	0	4	4	18	16	42	8	23	8	129	84	4	2	16	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	8	0	4	0	2	0	4	4	4	14	4	0	2	0	0	0	0	0	4	0	6	0	0	0	6	8	0	0	0	0	12	12	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanB-type_regulator|VANRB"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanB-type_resistance_protein|VANB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanB-type_resistance_protein|VANXB"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanC-type_regulator|VANRC"	32	4	15	6	32	48	10	24	0	1	0	10	1	3	0	0	8	0	2	8	25	0	16	3	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	44	2	0	0	0	1	8	0	5	3	2	30	19	3	2	2	13	0	0	0	0	0	42	0	0	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanC-type_regulator|VANSC"	14	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanC-type_resistance_protein|VANC"	240	0	84	27	40	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	20	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanC-type_resistance_protein|VANTC"	31	0	67	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC"	48	0	55	5	30	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	8	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	325	35	155	445	361	514	40	174	96	81	27	332	8	72	32	92	54	101	21	84	176	14	367	28	92	45	0	0	0	0	1	0	0	386	0	0	0	0	0	0	0	0	0	0	404	59	76	67	46	59	35	82	63	59	51	155	83	56	88	88	47	5	0	0	4	7	319	15	17	47	8	24	29	26	25	0	20	278	16	0	0	0	1	0	0	0	0	0	252	0	0	0	0	0	95	0
"Drugs|Glycopeptides|VanD-type_accessory_protein|VANYB"	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanD-type_accessory_protein|VANYD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanD-type_regulator|VANRD"	5	6	1	0	3	39	3	4	1	2	0	10	0	0	1	3	0	0	0	1	0	5	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	3	2	6	2	0	0	0	0	0	0	4	1	0	4	1	6	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanD-type_regulator|VANSD"	10	0	0	0	25	20	10	0	4	3	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	5	0	0	0	0	0	0	25	0	0	0	5	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanD-type_resistance_protein|VAND"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD"	17	0	0	32	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	1	1	0	7	0	1	0	1	0	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanD-type_resistance_protein|VANXD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanE-type_regulator|VANRE"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanE-type_resistance_protein|VANE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanE-type_resistance_protein|VANTE"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanE-type_resistance_protein|VANXYE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF"	7	2	5	0	3	6	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanG-type_regulator|VANRG"	1	1	0	3	6	1	0	1	0	1	0	0	1	2	0	1	0	0	0	1	6	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	78	0
"Drugs|Glycopeptides|VanG-type_regulator|VANSG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanG-type_resistance_protein|VANG"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	7	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanI-type_resistance_protein|VANI"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanL-type_regulator|VANRI"	0	0	2	0	0	1	0	0	3	1	1	0	0	8	0	6	4	1	3	7	1	2	0	1	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanL-type_regulator|VANRL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanM-type_regulator|VANSM"	4	1	0	17	2	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanM-type_resistance_protein|VANXM"	5	3	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanN-type_resistance_protein|VANN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanO-type_regulator|VANRO"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	2	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Glycopeptides|VanO-type_resistance_protein|VANXO"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR"	0	0	0	0	0	0	0	0	0	30	0	0	0	33	3	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	27	0	0	27	3	27	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
