"count"	"nhits"	"name"	"class"	"type"	"protein"	"gene"	"farm"	"animal"	"sample"	"site"
3273	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET32"	"1"	"22"	"7"	"feces"
4	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET36"	"1"	"22"	"7"	"feces"
17488	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET40"	"1"	"22"	"7"	"feces"
1470	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET44"	"1"	"22"	"7"	"feces"
747	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"	"1"	"22"	"7"	"feces"
61334	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETO"	"1"	"22"	"7"	"feces"
66853	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETQ"	"1"	"22"	"7"	"feces"
17	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETS"	"1"	"22"	"7"	"feces"
104925	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETW"	"1"	"22"	"7"	"feces"
56892	1785330	"G527_7_P1A22_feces_S7"	"Drugs"	"Tetracyclines"	"Tetracycline-resistant_16S_ribosomal_subunit_protein"	"TET16S"	"1"	"22"	"7"	"feces"
11	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Arsenic_resistance"	"Arsenic_resistance_protein"	"PSTB"	"1"	"22"	"7"	"feces"
36	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Arsenic_resistance"	"Arsenite_oxidase_regulator"	"AIOR"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Chromium_resistance"	"Chromium_resistance_protein"	"NFSA"	"1"	"22"	"7"	"feces"
3	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"COPA"	"1"	"22"	"7"	"feces"
154	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"DNAK"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"COPR"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"CUER"	"1"	"22"	"7"	"feces"
36	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Iron_resistance"	"Iron_resistance_protein"	"ACN"	"1"	"22"	"7"	"feces"
3	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"FECD"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"FECE"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"MODA"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"MODB"	"1"	"22"	"7"	"feces"
23	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"TROB"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"COPAM"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"COPBM"	"1"	"22"	"7"	"feces"
8	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"CTPC"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"GOLT"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"MNTP"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"RECGM"	"1"	"22"	"7"	"feces"
4	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"RUVBM"	"1"	"22"	"7"	"feces"
3	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"ZIPB"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"ZNTA"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_regulator"	"ZRAS"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_RND_efflux_pumps"	"CUSC"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_RND_efflux_pumps"	"CZCP"	"1"	"22"	"7"	"feces"
7	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_RND_efflux_pumps"	"SILP"	"1"	"22"	"7"	"feces"
7	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Multi-metal_resistance"	"Multi-metal_RND_efflux_regulator"	"SILR"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Sodium_resistance"	"Sodium_resistance_protein"	"NHAA"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Metals"	"Sodium_resistance"	"Sodium_resistance_protein"	"NHAB"	"1"	"22"	"7"	"feces"
10	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_resistance_protein"	"ACTP"	"1"	"22"	"7"	"feces"
3	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_resistance_protein"	"GLPF"	"1"	"22"	"7"	"feces"
8	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_resistance_protein"	"RUVB"	"1"	"22"	"7"	"feces"
7	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"ACRD"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"GESA"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"MDTB"	"1"	"22"	"7"	"feces"
18	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_regulator"	"BAER"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_ABC_efflux_pumps"	"YOGI"	"1"	"22"	"7"	"feces"
4	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"EMRBSM"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"EMRY"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"MDTM"	"1"	"22"	"7"	"feces"
3	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_regulator"	"EVGS"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ACRB"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ADEE"	"1"	"22"	"7"	"feces"
15	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"AMRB"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"BEPE"	"1"	"22"	"7"	"feces"
12	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"CEOB"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"EMHC"	"1"	"22"	"7"	"feces"
3	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MDTF"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MDTN"	"1"	"22"	"7"	"feces"
1	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MDTP"	"1"	"22"	"7"	"feces"
50	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXB"	"1"	"22"	"7"	"feces"
13	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXD"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXE"	"1"	"22"	"7"	"feces"
33	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXF"	"1"	"22"	"7"	"feces"
11	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXI"	"1"	"22"	"7"	"feces"
5	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXQ"	"1"	"22"	"7"	"feces"
374	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"OQXB"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"SDEB"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"SDEY"	"1"	"22"	"7"	"feces"
67	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"SME"	"1"	"22"	"7"	"feces"
6	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"TTGB"	"1"	"22"	"7"	"feces"
2	1785330	"G527_7_P1A22_feces_S7"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_regulator"	"CRP"	"1"	"22"	"7"	"feces"
1	56913	"G527_69_P2A18_rumen_S69"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	"SMDB"	"2"	"18"	"69"	"rumen"
3	56913	"G527_69_P2A18_rumen_S69"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"TBTB"	"2"	"18"	"69"	"rumen"
9	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"GYRBA"	"2"	"18"	"69"	"rumen"
13	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE"	"2"	"18"	"69"	"rumen"
10	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARY"	"2"	"18"	"69"	"rumen"
8	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"	"2"	"18"	"69"	"rumen"
5	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT6"	"2"	"18"	"69"	"rumen"
77	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-DPRIME"	"2"	"18"	"69"	"rumen"
21	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-PRIME"	"2"	"18"	"69"	"rumen"
8	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH6"	"2"	"18"	"69"	"rumen"
13963	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"A16S"	"2"	"18"	"69"	"rumen"
5	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RPSL"	"2"	"18"	"69"	"rumen"
1722	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSA"	"2"	"18"	"69"	"rumen"
1305	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSC"	"2"	"18"	"69"	"rumen"
1305	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSH"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Bacitracin"	"Undecaprenyl_pyrophosphate_phosphatase"	"BACA"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"ACI"	"2"	"18"	"69"	"rumen"
62	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"MECD"	"2"	"18"	"69"	"rumen"
1305	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Cationic_antimicrobial_peptides"	"Cationic_peptide-resistant_16S_ribosomal_subunit_protein"	"CAP16S"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Cationic_antimicrobial_peptides"	"Polymyxin_B_resistance_regulator"	"BASRS"	"2"	"18"	"69"	"rumen"
267	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Elfamycins"	"EF-Tu_inhibition"	"TUFAB"	"2"	"18"	"69"	"rumen"
31	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA"	"2"	"18"	"69"	"rumen"
35	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRB"	"2"	"18"	"69"	"rumen"
10	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"PARC"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"PAREF"	"2"	"18"	"69"	"rumen"
14	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Fusidic_acid"	"Fusidic_acid-resistant_mutation"	"FUSA"	"2"	"18"	"69"	"rumen"
7	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Glycopeptides"	"Vancomycin-resistant_mutation"	"RPOC"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Glycopeptides"	"VanD-type_regulator"	"VANSD"	"2"	"18"	"69"	"rumen"
27	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Lipopeptides"	"Colistin_phosphoethanolamine_transferase"	"MCR"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Lipopeptides"	"Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOBL"	"2"	"18"	"69"	"rumen"
6	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Lipopeptides"	"Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC"	"RPOCL"	"2"	"18"	"69"	"rumen"
6	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Metronidazole"	"nim_nitroimidazole_reductase"	"NIMJ"	"2"	"18"	"69"	"rumen"
4	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"CFR"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"LLMA"	"2"	"18"	"69"	"rumen"
3	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUA"	"2"	"18"	"69"	"rumen"
23	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUC"	"2"	"18"	"69"	"rumen"
20846	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S"	"2"	"18"	"69"	"rumen"
25	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"MSRA"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"OLEB"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"TLRC"	"2"	"18"	"69"	"rumen"
88	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFA"	"2"	"18"	"69"	"rumen"
618	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"MDR_23S_rRNA_mutation"	"MDR23S"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"CARA"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"MACB"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"SALA"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"SRMB"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"TLRCM"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_RND_efflux_pumps"	"MUXA"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_RND_efflux_pumps"	"MUXC"	"2"	"18"	"69"	"rumen"
1717	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Oxazolidinone"	"Oxazolidinone-resistant_23S_rRNA_mutation"	"O23S"	"2"	"18"	"69"	"rumen"
7	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Pactamycin"	"Pactamycin-resistant_16S_ribosomal_subunit_protein"	"P16S"	"2"	"18"	"69"	"rumen"
316	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Phenicol"	"Phenicol-resistant_23S_rRNA_mutation"	"PH23S"	"2"	"18"	"69"	"rumen"
648	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Pleuromutilin"	"Pleuromutilin-resistant_23S_rRNA_mutation"	"P23S"	"2"	"18"	"69"	"rumen"
418	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB"	"2"	"18"	"69"	"rumen"
20	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETC"	"2"	"18"	"69"	"rumen"
3	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"OTRA"	"2"	"18"	"69"	"rumen"
29	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET32"	"2"	"18"	"69"	"rumen"
48	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET40"	"2"	"18"	"69"	"rumen"
28	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET44"	"2"	"18"	"69"	"rumen"
2597	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETO"	"2"	"18"	"69"	"rumen"
1542	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETQ"	"2"	"18"	"69"	"rumen"
6140	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETW"	"2"	"18"	"69"	"rumen"
1444	56913	"G527_69_P2A18_rumen_S69"	"Drugs"	"Tetracyclines"	"Tetracycline-resistant_16S_ribosomal_subunit_protein"	"TET16S"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Arsenic_resistance"	"Arsenic_resistance_protein"	"ARST"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"CTPG"	"2"	"18"	"69"	"rumen"
18	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"DNAK"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"COPR"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"CORR"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERA"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"CNRA"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"CTPC"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"CUEA"	"2"	"18"	"69"	"rumen"
6	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"ACRD"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"CMEB"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_pumps"	"GESB"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_and_metal_resistance"	"Drug_and_biocide_and_metal_RND_efflux_regulator"	"BAER"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MATE_efflux_pumps"	"NORM"	"2"	"18"	"69"	"rumen"
6	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ACRF"	"2"	"18"	"69"	"rumen"
1	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"AXY"	"2"	"18"	"69"	"rumen"
2	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MDTF"	"2"	"18"	"69"	"rumen"
5	56913	"G527_69_P2A18_rumen_S69"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"MEXB"	"2"	"18"	"69"	"rumen"
