"pattern"	"count"	"nhits"	"sample"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	33009	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	4014	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	3182	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	3182	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|betalactams|Class_A_betalactamases|ACI"	5	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|betalactams|Class_A_betalactamases|TEM"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|betalactams|Class_B_betalactamases|CFIA"	5	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	3182	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	574	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	116	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	81	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRC|RequiresSNPConfirmation"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	7	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation"	3	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	30	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	26	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Glycopeptides|VanG-type_regulator|VANRG"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation"	12	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation"	24	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMJ"	19	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|23S_rRNA_methyltransferases|CFR"	7	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA"	5	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC"	42	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	51770	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB"	6	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|TLRC"	6	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA"	94	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATA"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation"	1385	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAC"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACB"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALA"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SRMB"	3	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|TLRCM"	4	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation"	4	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	3981	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation"	40	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation"	105	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation"	1501	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	744	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC"	40	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|OTRA"	16	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32"	113	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40"	164	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44"	96	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO"	7207	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ"	3433	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW"	17037	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	3321	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Copper_resistance|Copper_resistance_protein|DNAK"	12	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Copper_resistance|Copper_resistance_regulator|CORR"	4	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|TROB"	3	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|COPAM"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CTPC"	8	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CUEA"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM"	6	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP"	6	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF"	8	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEG"	3	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEJ"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY"	3	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB"	3	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB"	4	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE"	4	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI"	1	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB"	36	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEB"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME"	13	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR"	2	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP"	4	138899	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_76_P2A28_rumen_S76.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|GADA"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Biocides|Acid_resistance|Acid_resistance_protein|GADB"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPB"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	14	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	56	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY"	16	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME"	20	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6"	11	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	9	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME"	3	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	19871	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	2377	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	1799	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	1799	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|betalactams|Class_A_betalactamases|ACI"	5	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|betalactams|Class_A_betalactamases|TEM"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	1799	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	493	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	123	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	32	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	6	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation"	3	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	27	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	29	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation"	6	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation"	39	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMJ"	9	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|23S_rRNA_methyltransferases|CFR"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|23S_rRNA_methyltransferases|LLMA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC"	25	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	30744	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEC"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|TLRC"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA"	66	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation"	980	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAB"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAC"	5	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACB"	3	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALA"	1	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SRMB"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|TLRCM"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES"	2	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation"	7	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA"	8	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	2419	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
"Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation"	5	82636	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_75_P2A27_rumen_S75.txt"
